osm_type,osm_id,name,category,place,street,housenumber,postcode,phone,phone_alt,website,email,facebook,instagram,opening_hours,lat,lon
node,12343345682,AikBank,bank,,,,,+381800101015,+381800101172,https://www.aikbank.rs,,,,"Mo-We,Fr 09:00-16:30; Th 10:00-17:30",43.3191032,21.9075938
node,12399612706,AikBank,bank,,,,,+381800101015,,https://www.aikbank.rs,,https://www.facebook.com/AikBankSrbija,https://www.instagram.com/aikbank.srbija,"Mo-Tu,Th-Fr 09:00-16:30; We 10:30-18:00",43.3183402,21.8974927
node,6807406189,Alta banka,bank,,Вожда Карађорђа,2,,+381112205500,,https://altabanka.rs/,info@altabanka.rs,,,Mo-Fr 08:00-20:00; Sa 08:00-17:00,43.3207919,21.896455
node,12126262959,Banca Intesa,bank,,,,,+381113108888,,https://www.bancaintesa.rs,kontaktcc@bancaintesa.rs,https://www.facebook.com/bancaintesa.rs/,https://www.instagram.com/bancaintesa/,Mo-Fr 08:30-18:00,43.3194124,21.8989902
node,12126262961,Banca Intesa,bank,,,,,+381113108888,,https://www.bancaintesa.rs,kontaktcc@bancaintesa.rs,https://www.facebook.com/bancaintesa.rs/,https://www.instagram.com/bancaintesa/,Mo-Fr 08:30-18:00,43.3207369,21.8947269
node,12126262963,Banca Intesa,bank,,,,,+381113108888,,https://www.bancaintesa.rs,kontaktcc@bancaintesa.rs,https://www.facebook.com/bancaintesa.rs/,https://www.instagram.com/bancaintesa/,Mo-Fr 09:00-16:30,43.3219129,21.9128187
node,12126262966,Banca Intesa,bank,,,,,+381113108888,,https://www.bancaintesa.rs,kontaktcc@bancaintesa.rs,https://www.facebook.com/bancaintesa.rs/,https://www.instagram.com/bancaintesa/,Mo-Fr 08:30-18:00,43.3239693,21.9305429
node,13574450484,Banca Intesa,bank,,Обреновићева,82a,,+381113108888,,https://www.bancaintesa.rs,kontaktcc@bancaintesa.rs,https://www.facebook.com/bancaintesa.rs/,https://www.instagram.com/bancaintesa/,Mo-Fr 08:30-16:00,43.3172057,21.8942355
node,8219554631,Erste Bank,bank,,,,,+381604848000,+381800201201,https://www.erstebank.rs/,info@erstebank.rs,https://www.facebook.com/erstebankasrbija,https://www.instagram.com/erste_banka_srbija,Mo-Fr 09:00-16:30,43.3160491,21.8915648
node,8219554641,Erste Bank,bank,,,,,+381604848000,+381800201201,https://www.erstebank.rs/,info@erstebank.rs,https://www.facebook.com/erstebankasrbija,https://www.instagram.com/erste_banka_srbija/,Mo-Fr 08:30-16:30,43.319,21.899094
node,11837414955,Erste Bank,bank,,,,,+381604848000,+381800201201,https://www.erstebank.rs,info@erstebank.rs,https://www.facebook.com/erstebankasrbija,https://www.instagram.com/erste_banka_srbija,Mo-Fr 08:30-16:00,43.3232537,21.9013658
node,6808075886,OTP banka,bank,,,,,+381113011555,,https://www.otpbanka.rs/,,,,Mo-Fr 08:00-15:30,43.318103,21.8899123
node,6808078296,OTP banka,bank,,,,,+381113011555,,https://www.otpbanka.rs/,,,,Mo-Fr 08:00-15:30,43.3177217,21.9119213
node,6812666788,OTP banka,bank,Ниш,Николе Пашића,28a,18000,+381113011555,,https://www.otpbanka.rs/,,,,Mo-Fr 09:00-16:30,43.3183181,21.8960382
node,12648172838,OTP banka,bank,,,,,+381113011555,,https://www.otpbanka.rs/,,,,Mo-Fr 09:00-16:30,43.3217439,21.8961021
node,12648172840,OTP banka,bank,,,,,+381113011555,,https://www.otpbanka.rs/,,,,Mo-Fr 09:00-16:30,43.3188737,21.9211858
node,4831183821,ProCredit banka,bank,,Николе Пашића,32b,18000,+381112057000,+381700700000,https://www.procreditbank.rs/,kontakt@procreditbank.rs,https://www.facebook.com/procreditsrbija,https://instagram.com/procreditbank_srbija,Mo-Fr 08:00-17:00,43.3185813,21.8941484
node,10862098336,ProCredit banka,bank,,,,,+381112057000,+381700700000,https://www.procreditbank.rs/,,https://www.facebook.com/procreditsrbija,https://instagram.com/procreditbank_srbija,Mo-Fr 08:00-16:00,43.3229337,21.9258892
node,13511716302,Raiffeisen bank,bank,,,,,+3811113202100,,https://raiffeisenbank.rs/,branch_nis_bulevar_nemanjica_30@raiffeisenbank.rs,,,Mo-Fr 08:30-16:00,43.3219538,21.9127428
node,8628426269,UniCredit,bank,,,,,+381113777888,,https://www.unicreditbank.rs/,kontakt@unicreditbank.rs,,,Mo-Fr 08:00-16:00,43.3214911,21.8961144
node,8628426277,UniCredit,bank,,Булевар др Зорана Ђинђића,15,,+381113777888,,https://www.unicreditbank.rs/,kontakt@unicreditbank.rs,,,Mo-Fr 08:00-16:00,43.3195449,21.9078139
node,6806509687,UniCredit Bank,bank,,Николе Пашића,63,,+381113777888,,https://www.unicreditbank.rs/,kontakt@unicreditbank.rs,,,Mo-Fr 08:00-16:00,43.3185437,21.8926777
node,8628426264,UniCredit Bank,bank,,Византијски булевар,80,,+381113777888,,https://www.unicreditbank.rs/,kontakt@unicreditbank.rs,,,Mo-Fr 08:00-16:00,43.3234655,21.9307347
node,11897747624,НЛБ Комерцијална банка,bank,,,,,+381112018600,,https://www.nlbkb.rs/,kontakt.centar@nlbkb.rs,,,Mo-Fr 08:00-15:00,43.3180867,21.8898283
node,12188084526,НЛБ Комерцијална банка,bank,,Николе Пашића,41,,+381112018600,,https://www.nlbkb.rs/,kontakt.centar@nlbkb.rs,,,Mo-Fr 09:00-18:00,43.3181003,21.8956287
node,12526993562,НЛБ Комерцијална банка,bank,,Наде Томић,14,,+381112018600,,https://www.nlbkb.rs,kontakt.centar@nlbkb.rs,,,Mo-Fr 08:00-15:00,43.3194019,21.8965596
node,12526993563,НЛБ Комерцијална банка,bank,,Епископска,32,,+381112018600,,https://www.nlbkb.rs,kontakt.centar@nlbkb.rs,,,Mo-Fr 09:00-16:00,43.3136713,21.8972379
node,4308633817,Поштанска штедионица,bank,,,,,+38118258485,,https://www.posted.co.rs/,,,,Mo-Fr 08:00-19:30; Sa 08:00-13:00,43.3208855,21.8942714
node,12677368788,Поштанска штедионица,bank,,Булевар др Зорана Ђинђића,15v,,+38118203053,,https://www.posted.co.rs/,,,,Mo-Fr 08:00-18:00; Sa 08:00-13:00,43.3195254,21.9076309
node,12677368789,Поштанска штедионица,bank,,,,,+381184297000,,https://www.posted.co.rs/,,,,Mo-Fr 08:00-17:00; Sa 08:00-13:00,43.3245346,21.9071194
node,12677368790,Поштанска штедионица,bank,,,,,+38118201092,,https://www.posted.co.rs/,,,,Mo-Fr 08:00-17:00; Sa 08:00-13:00,43.3293542,21.9264626
node,12677368794,Поштанска штедионица,bank,,,,,+381184150244,,https://www.posted.co.rs/,,,,Mo-Fr 08:00-16:00,43.3186104,21.8943634
node,6919028485,Gastro Dućan,bar,,,,,+381640443343,,,,,,Mo-Sa 15:00-22:00,43.3202312,21.9020055
node,10062280899,Aqua Casa,bathroom_furnishing,,,,,+38118524017,,https://aquacasa.rs/,webshop@aquacasa.rs,https://www.facebook.com/aquacasasrbija,https://www.instagram.com/aquacasa_srbija/,Mo-Fr 08:00-20:00; Sa 08:00-15:00,43.3279678,21.888593
node,4193349506,METALCOOP Keramika,bathroom_furnishing,City of Niš,Булевар Светог цара Константина,76,18103,0184561780,,https://metalcoopnis.rs/,prodaja@metalcoopnis.rs,,,Mo-Fr 08:00-19:00; Sa 08:00-15:00; Su off; PH off,43.3099893,21.9358885
way,1175022395,Golub,bbq,,Косовке Девојке,18,,+381184287010,,,,,,,43.3307384,21.9077985
node,11067334741,Blumen Beauty & Hair Studio,beauty,Niš,Византијски булевар,80a,,+381637313132,,,,,,Mo-Su 10:00-20:00,43.323456,21.9308383
node,13958590358,Danesa,beauty,,,,,+381646626340,,,,,,"Mo,Tu.Th,Fr 13:00-19:00",43.3188873,21.9215664
node,13683836310,Gloss,beauty,Ниш,Рајићева,2,18000,+38118593595,,,,,,Mo-Sa 09:00-19:00; Su 10:00-15:00,43.3163449,21.8983441
way,767407996,Lavju,beauty,,,,,+381652550562,,,lavju.beautyroom@gmail.com,https://www.facebook.com/lavju.beautyroom/,@tamara_lav,,43.3058109,21.939945
way,1068024442,Nail design,beauty,Ниш,Марије Бурсаћ,8,18106,+38118526133,,,,,,,43.3133065,21.8964593
node,9509108536,Соња плус,beauty,Ниш,Обреновићева,21/1,18000,+38118257060,,,,https://www.facebook.com/Sonjaplus/,https://www.instagram.com/kozmeticki_salon_sp/?hl=en,,43.3188962,21.8951884
way,1190275878,Smoothie Bar,beverages,,Николе Пашића,23b,,0611779419,,,,,,,43.3179964,21.898387
node,13036273101,Capriolo,bicycle,,Николе Пашића,26,,,,http://capriolo.com,,,,,43.3183783,21.8960511
node,9532234718,AdmiralBet,bookmaker,,,,,+38162272458,,https://admiralbet.rs,,,https://www.instagram.com/admiralbet.rs,Mo-Su 09:00-01:00,43.3204294,21.8952625
node,11174761705,AdmiralBet,bookmaker,,,,,+381605504716,,https://admiralbet.rs,,,https://www.instagram.com/admiralbet.rs,Mo-Su 09:00-24:00,43.3245864,21.9051229
node,12095502960,AdmiralBet,bookmaker,,Топличина,4,,+38162272458,,https://admiralbet.rs,,,https://www.instagram.com/admiralbet.rs,Mo-Su 09:00-23:00,43.3173389,21.8900045
node,13508773665,AdmiralBet,bookmaker,,,,,+381605504726,,https://admiralbet.rs,,,https://www.instagram.com/admiralbet.rs,Mo-Su 09:00-24:00,43.3203775,21.936256
node,13508773666,AdmiralBet,bookmaker,,,,,+381605504719,,https://admiralbet.rs,,,https://www.instagram.com/admiralbet.rs,Mo-Su 09:00-24:00,43.3150597,21.8945235
node,13508773668,AdmiralBet,bookmaker,,,,,+381605504717,,https://admiralbet.rs,,,https://www.instagram.com/admiralbet.rs,Mo-Su 08:00-23:00,43.3240869,21.8923885
node,13508773669,AdmiralBet,bookmaker,,,,,+381605504729,,https://admiralbet.rs,,,https://www.instagram.com/admiralbet.rs,Mo-Su 09:00-24:00,43.3125909,21.9274289
node,13508773670,AdmiralBet,bookmaker,,,,,+381605504714,,https://admiralbet.rs,,,https://www.instagram.com/admiralbet.rs,Mo-Su 09:00-24:00,43.3166463,21.8921685
node,8014804612,Balkan Bet,bookmaker,Ниш,,,,+381648036680,,https://www.balkanbet.rs,,,,Mo-Su 09:00-01:00,43.3111975,21.9375804
node,6806523537,Maršal,bookmaker,Ниш,Николе Пашића,28,18105,+38163581321,,,,,,Mo-Su 08:00-02:00,43.3183914,21.8955704
node,11981028845,Meridianbet,bookmaker,,,,,0800333440,,https://meridianbet.com,info@meridianbet.com,,,Mo-Su 09:00-21:00,43.3119393,21.9273827
node,11981036809,Meridianbet,bookmaker,,,,,0800333440,,https://meridianbet.com,info@meridianbet.com,,,Mo-Su 09:00-23:00,43.3201654,21.9202998
node,12017395816,Meridianbet,bookmaker,,,,,0800333440,,https://meridianbet.com,info@meridianbet.com,,,Mo-Su 09:00-23:00,43.3155093,21.8762112
node,12017399628,Meridianbet,bookmaker,,,,,0800333440,,https://meridianbet.com,info@meridianbet.com,,,Mo-Su 09:00-23:00,43.3178985,21.8948483
node,6808078393,Mozzart,bookmaker,,,,,+381800800899,,https://www.mozzartbet.com,help@mozzartbet.com,,,Mo-Su 09:00-01:00,43.3114108,21.9276139
node,6808078795,Mozzart,bookmaker,,,,,+381800800899,,https://www.mozzartbet.com,help@mozzartbet.com,,,Mo-Su 09:00-03:00,43.318094,21.9110614
node,9509981942,Mozzart,bookmaker,Ниш,Епископска,10,18000,+381800800899,,https://www.mozzartbet.com,help@mozzartbet.com,,,Mo-Su 09:00-01:00,43.314181,21.8960343
node,12536405356,Mozzart,bookmaker,,,,,+381800800899,,https://www.mozzartbet.com,help@mozzartbet.com,,,Mo-Su 09:00-24:00,43.3173568,21.8918532
node,12536405361,Mozzart,bookmaker,,,,,+381800800899,,https://www.mozzartbet.com,help@mozzartbet.com,,,Mo-Su 09:00-03:00,43.317657,21.9072025
node,12536408624,Mozzart,bookmaker,,,,,+381800800899,,https://www.mozzartbet.com,help@mozzartbet.com,,,Mo-Su 09:00-01:00,43.3184924,21.9351965
node,12536408627,Mozzart,bookmaker,,,,,+381800800899,,https://www.mozzartbet.com,help@mozzartbet.com,,,Mo-Su 09:00-01:00,43.3187324,21.9214717
node,12536408629,Mozzart,bookmaker,,,,,+381800800899,,https://www.mozzartbet.com,help@mozzartbet.com,,,Mo-Su 09:00-24:00,43.3115761,21.8759787
node,12536408632,Mozzart,bookmaker,,,,,+381800800899,,https://www.mozzartbet.com,help@mozzartbet.com,,,Mo-Su 09:00-24:00,43.3293629,21.9266698
way,762657648,Mozzart,bookmaker,,Књажевачка,209,,+381800800899,,https://www.mozzartbet.com,help@mozzartbet.com,,,Mo-Su 09:00-01:00,43.3299828,21.9381306
way,1028527311,Mozzart,bookmaker,Ниш,Мокрањчева,40a,18000,+381800800899,,https://www.mozzartbet.com,help@mozzartbet.com,,,Mo-Su 09:00-24:00,43.3070805,21.9091593
node,12506638891,Креативни центар,books,,,,,+381602440655,,https://kreativnicentar.rs,klubknjizaranis@kreativnicentar.rs,,,Mo-Fr 08:00-20:00; Sa 09:00-15:00,43.3192635,21.8999154
node,5939862072,Лагуна,books,Ниш,,,,+381184522332,,https://www.laguna.rs/,,,,Mo-Su 10:00-22:00,43.311263,21.9371993
node,9713356984,Свети цар Константин,books,,,,,+38118200015,,,,,,Mo-Fr 08:00-21:00; Sa 08:00-15:00,43.3155798,21.8945092
node,13683836324,Хијероглиф,books,Ниш,Рајићева,36,18000,+38118245888,,http://www.hijeroglif.com/,,,,Mo-Fr 07:30-21:00; Sa 09:00-15:00,43.3220169,21.8952865
way,1059590016,Deniko kids,bureau_de_change,Ниш,Обреновићева,80a,18000,+38118526244,,,,,,Mo-Sa 08:00-21:00; Su 08:00-15:00,43.3172947,21.8943137
way,1189531837,Euro 5,bureau_de_change,Ниш,Обреновићева,3,18000,,,https://www.euro5.rs/,,,,,43.3203526,21.895539
node,9713356986,Monacos,bureau_de_change,,,,,+38169717721,,,,,,,43.3156781,21.8944744
node,13136508700,Yuhor,butcher,Ниш,Др Миленка Хаџића,1,18108,,,https://www.yuhor.rs/,,,,Mo-Fr 07:00-20:00; Sa 07:00-16:00; Su 07:00-14:00,43.3124193,21.928047
node,6809646085,Даком,butcher,,,,,+38118250630,,https://dakom.rs/,,,,,43.3158751,21.8944778
node,13136511601,Даком,butcher,Ниш,Др Миленка Хаџића,1,18108,+38118553314,,https://www.dakom.rs/,,,,Mo-Sa 07:00-20:00; Su 07:00-14:00,43.3122116,21.9281738
way,1028732097,Мак,butcher,Ниш,Епископска,54,18000,+38163417674,,https://mak.rs/,,,,,43.3129565,21.8985271
node,6807369388,Матијевић,butcher,,,,,,,https://matijevic.rs/,,,,"Mo-Sa 07:00-20:00, Su 07:00-13:00",43.3242814,21.8909995
node,13683836338,Мића - Шеци,butcher,Ниш,Рентгенова,4j,18000,+38118533488,,,,,,Mo-Fr 07:00-19:00; Sa 07:00-15:00; Su 07:00-12:00,43.3184939,21.9138639
node,3752284139,Перутнина Птуј,butcher,Niš,Епископска,67,18000,+38118593616,,,,,,,43.3125637,21.899828
node,11897048291,Anticafe Nis,cafe,Ниш,Ивана Гундулића,2,18000,+381637501291,,https://anticafe.info/,,,https://www.instagram.com/anticafe_nis/,Su-Th 11:00-23:00; Fr-Sa 11:00-24:00,43.3144188,21.899725
way,1066063477,Chairski,cafe,Ниш,Ратка Вукичевића,5a,18000,+381603369369,,https://chairski.rs/,,https://www.facebook.com/chairski/,,Mo-Su 07:30-24:00,43.3155321,21.9023274
node,13683836344,Coffee Diem,cafe,Ниш,Краља Стефана Првовенчаног,2a,18000,+381665409583,,https://biznisnik.com/menu-coffeediem/,,,,Mo-Fr 09:00-18:00; Sa 10:00-16:00,43.3218397,21.901455
way,1189728099,Klub igara Goblin,cafe,,Кеј Кола српских сестара,35,,+381694374423,,,goblinklub.nis@gmail.com,,,Fr 17:00-23:00; Sa-Su 16:00-23:00,43.3207569,21.8898131
node,5939862491,Na ćošku,cafe,,,,,+381184520521,,https://www.facebook.com/pages/Na-Ćošku,,,,Mo-Su 09:00-22:30,43.311105,21.9373209
node,13683836341,Pastel Dreams,cafe,Ниш,Наде Томић,5,18000,+381637563783,,,,,,Mo-Su 08:00-23:00,43.3204427,21.8963717
node,13683836315,River,cafe,Ниш,Рајићева,34,18000,+381628606942,,https://rivercaffe.rs/,,,,Mo-Su 08:00-23:00,43.3143832,21.8975151
node,12506638893,Saloon 1995,cafe,,,,,+381644866882,,,,,,,43.3193327,21.8999553
node,13036286501,Vespa Bar,cafe,,Трг републике,1,,+38118305067,,http://www.vespabar.com,caffe@vespabar.com,,,,43.3178013,21.8972287
node,2700311766,Vinyl Cafe,cafe,,,,,+381183334545,,https://www.vinylcafe.rs/,,https://www.facebook.com/vinylcafenis,https://www.instagram.com/vinylcafenis/,,43.3179412,21.8949038
node,9982332954,Zapis,cafe,,,,,,,https://cafezapis.com/,,,,,43.3216139,21.9004087
node,13958590354,Čarli,cafe,,,,,+381692990471,,,,,,Mo-Fr 09:00-00:00; Sa 09:00-01:00,43.318798,21.9213822
node,4581682042,Биро кафетерија,cafe,,,,,+381646419412,,,n.spasic83@gmail.com,https://www.facebook.com/birokafeterijanis/,https://www.instagram.com/biro_kafeterija_nis/,Mo-Sa 08:00-23:00; Su 10:00-23:00,43.317671,21.8977549
node,13395542604,Бистро Куће од Ораха,cafe,,,,,+381641666362,,,,,https://www.instagram.com/bistrokuceodoraha/,Tu-Su 14:00-23:00,43.3235787,21.9024592
node,12188084523,Кафетерија,cafe,,,,,,,https://www.kafeterija.com/,,,,,43.3180479,21.8954858
node,2700311779,Трамвај,cafe,Ниш,Обреновићева,20,18000,+381638452574,,,nistramvaj@yahoo.com,https://www.facebook.com/caffetramvajnish/,https://www.instagram.com/tramvaj_nis/?hl=en,Mo-Th 08:00-24:00; Fr-Sa 08:00-01:00; Su 08:00-24:00,43.3199929,21.8951404
way,357170565,Auto Čačak,car,Ниш,Византијски булевар,,18000,+38118514448,,http://www.autocacak.co.rs/,,,,Mo-Fr 08:00-19:00; Sa 08:00-14:00,43.3243569,21.9271488
node,13260065014,BMW Mitić,car,,,,,+381184519519,,https://bmwmitic.rs/,office@bmw-mitic.rs,,,Mo-Fr 09:00-17:00; Sa 09:00-14:00,43.3159985,21.8491858
way,382955111,Bros Auto,car,Ниш,Димитрија Туцовића,185,18250,+381184566800,,https://www.brosauto.rs/,office@brosauto.rs,,,Mo-Fr 08:00-18:00; Sa 08:00-15:00,43.3165938,21.8428645
node,12033108267,Ауто мото плац Фигаро,car,,,,,+381606027777,,,,,,,43.336789,21.9371719
node,6806509486,Gazelakomerc,car_parts,,,,,+38118523317,+38118522924;+38118520102,https://gazela.rs/,nis@gazela.rs,https://www.facebook.com/gazelakomerc,https://www.instagram.com/gazelakomerc/,Mo-Fr 08:00-17:00; Sa 08:00-14:00,43.3225144,21.8904394
node,14006237307,Inter Cars,car_parts,,,,,+381184262008,,,nis.sales@intercars.eu,https://www.facebook.com/intercarssrbija,,Mo-Fr 08:00-18:00; Sa 08:00-14:00,43.321225,21.8691883
node,12006049607,KIT Commerce Niš,car_parts,,Обилићев венац,90,,0184590630,0184590631,https://kitcommerce.rs/,,,,Mo-Fr 08:00-17:00; Sa 08:00-14:00,43.3158818,21.8859178
node,11997191144,WINT Niš,car_parts,,Гоце Делчева,2,,0184601044,,https://wint.rs/,,,,Mo-Fr 08:00-19:00; Sa 08:00-14:00,43.3149964,21.8740077
node,13564421848,Ауто Рус,car_parts,,,,,0184561578,,,,,,Mo-Fr 08:00-17:00; Sa 08:00-14:00,43.315903,21.8863782
node,12369565515,Bugi Design,carpenter,,,,,+381655251017,,,bugi.design.nis@gmail.com,,,,43.3092902,21.9044564
node,5939862069,dm,chemist,Ниш,,,,+381112062900,,https://www.dm.rs/,info@dm.rs,,,Mo-Su 09:00-22:00,43.3113763,21.9359865
node,6812666786,dm,chemist,Ниш,Николе Пашића,29,18000,+38118240316,,https://www.dm.rs/,info@dm.rs,,,Mo-Fr 08:00-21:00; Sa 09:00-21:00; Su 09:00-15:00,43.3179608,21.8963823
node,13479253221,dm,chemist,Ниш,Трг краља Милана,11,18000,+381184151088,,https://www.dm.rs/,,,,Mo-Sa 09:00-21:00; Su 10:00-16:00,43.3215409,21.895336
node,13852417292,dm,chemist,Ниш,,,,+381112062900,,https://www.dm.rs/,info@dm.rs,,,Mo-Su 09:00-22:00,43.3229295,21.9255672
node,5939862074,Lilly,chemist,Ниш,,,,,,https://www.lilly.rs/,,,,Mo-Su 09:00-22:00,43.3112081,21.9355934
way,949808400,Villy,chemist,,,,,+38118525026,,https://villyshop.wordpress.com/,,,,Mo-Fr 08:00-21:00; Sa 08:00-18:00,43.313289,21.8986587
node,5939862067,Cineplexx,cinema,Ниш,,,,+38118300340,,https://www.cineplexx.rs/,,,,Mo-Fr 14:00-24:00; Sa-Su 12:00-24:00,43.3112479,21.9372965
node,6852481386,Вилин град,cinema,Ниш,Обреновићева,19,18000,+38118251520,,,vilingrad.nis@vilingrad.rs,https://www.facebook.com/VilinGradNis,https://www.instagram.com/vilingradnis,Mo-Fr 14:00-01:00; Sa-Su 12:00-01:00,43.3189983,21.8951606
node,12484565785,O3&O2 Agencija za čišćenje u Nišu,cleaning,Ниш,Рудничка,14,18106,+381611139198,,http://o3o2.ru/,,,,24/7,43.3110911,21.8866871
node,13515499703,Poliklinika Human,clinic,,Војводе Танкосића,9,18000,+381018300615,+3810602302055,https://www.poliklinikahuman.rs/,humanmed@poliklinikahuman.rs,poliklinikahuman.rs,,Mo-Fr 07:00-20:00; Sa 08:00-15:00,43.3232235,21.9068283
way,286188953,Дом здравља Ниш,clinic,Ниш,Војводе Танкосића,13,18000,+38118503503,,https://www.domzdravljanis.co.rs/,,,,,43.3227805,21.9079674
way,474385722,Завод за здравствену заштиту студената Ниш,clinic,Ниш,Катићева,21,18000,+381184234155,,,,,,,43.3142346,21.8931081
way,290406172,Завод за ургентну медицину Ниш,clinic,,Др Миодрага Лазића,21,,+38118529001,,https://hitnanis.org/,office@hitnanis.org,,,,43.3132575,21.9160845
way,1157965035,Bonatti,clothes,,,,,,,https://deltaplanetnis.rs/zakupac/bonatti/,,,,Mo-Su 10:00-22:00,43.3251675,21.9106242
node,13683836346,Dušan Stil,clothes,Ниш,Цара Душана,35,18000Mo-Fr 09:00-21:00,+38118517242,,,,,,Mo-Fr 09:00-21:00; Sa 09:00-16:00,43.3174361,21.8976198
node,13683836347,Dušan Stil,clothes,Ниш,Цара Душана,50,18000Mo-Fr 09:00-21:00,+38118517242,,,,,,Mo-Fr 09:00-21:00; Sa 09:00-16:00,43.317222,21.8976945
node,5939862489,Extreme Intimo,clothes,Ниш,,,,+381608275159,,https://www.extremeintimo.com/,,,,Mo-Su 10:00-22:00,43.3112938,21.9370012
node,9713436476,Family,clothes,Ниш,Обреновићева,,18000,,,https://maloprodaja.polovna-garderoba.com/,,,,Mo-Fr 08:00-21:00; Sa 08:00-17:00,43.316548,21.8944105
node,5939862496,Feedback,clothes,,,,,+38131893233,,https://feedback.rs/,,,,Mo-Su 10:00-22:00,43.3106349,21.9364502
